,date,AutoiTransformer,AutoAutoformer,AutoPatchTST,AutoLSTM,AutoInformer
0,2024-02-01,14533.653554287506,6107.19140625,7266.8271484375,10928.6015625,7834.709611891405
1,2024-02-02,16879.32572769138,7380.84765625,8439.6630859375,12864.912109375,8582.100669221929
2,2024-02-03,15717.14708952533,8990.31640625,7858.57373046875,13617.796875,9755.81748296986
3,2024-02-04,15033.628276515286,10379.6318359375,7516.814453125,13819.716796875,10611.197078524478
4,2024-02-05,14551.035388382676,8945.70703125,7275.51806640625,12691.4921875,9678.860094414576
5,2024-02-06,13570.670077370945,7804.70654296875,6785.3359375,11507.0400390625,8971.293977192166
6,2024-02-07,13252.610226492863,7262.638671875,6626.30615234375,11498.80859375,8743.083916272823
7,2024-02-08,12555.58853166274,7785.7392578125,6277.79443359375,13113.3251953125,9504.18387028394
8,2024-02-09,13079.887024143507,9079.6640625,6539.943359375,14059.849609375,10303.600955922311
9,2024-02-10,11866.857014478534,10891.828125,5933.427734375,13848.689453125,11355.322708222775
10,2024-02-11,12064.05186001584,11081.037109375,6032.025390625,12881.763671875,11187.878826051718
11,2024-02-12,10744.450539332931,10212.2431640625,5372.22509765625,13018.107421875,10986.236599314529
12,2024-02-13,10535.556236022996,9334.9169921875,5267.7783203125,12356.8330078125,10414.144485042563
13,2024-02-14,13056.193804372102,8855.056640625,6528.09765625,13500.4404296875,10066.1464619732
14,2024-02-15,15202.831541239517,8647.2177734375,7601.4169921875,14960.037109375,9991.606354083997
15,2024-02-16,17307.485665909713,9493.728515625,8653.744140625,16800.18359375,10523.038332173179
16,2024-02-17,16858.865590871777,11542.7421875,8429.43359375,18062.125,11950.85302153576
17,2024-02-18,15058.380812685238,11675.484375,7529.19140625,17920.216796875,12253.544564418393
18,2024-02-19,13171.21465661074,10559.78515625,6585.60791015625,16851.599609375,11734.50543669994
19,2024-02-20,12525.721443819391,9595.181640625,6262.86083984375,15025.818359375,10883.620802281912
20,2024-02-21,12958.828943187662,8866.87890625,6479.4140625,15012.9619140625,10466.626799714813
21,2024-02-22,15326.822420552751,8590.3818359375,7663.4111328125,15384.060546875,10035.376679935422
22,2024-02-23,16927.79736018204,10217.24609375,8463.8984375,16274.462890625,10818.571076020555
23,2024-02-24,15802.622080447618,12906.271484375,7901.310546875,17005.076171875,12526.77483940826
24,2024-02-25,13817.687444359173,13929.51171875,6908.84375,16730.806640625,13282.702158870155
25,2024-02-26,12913.076009271259,12702.509765625,6456.53759765625,15583.5263671875,12524.630004853436
26,2024-02-27,13234.187234547571,11654.0087890625,6617.0927734375,15586.3427734375,11952.65581149108
27,2024-02-28,14421.602849891176,11097.21875,7210.80029296875,17147.82421875,11873.20816315517
28,2024-02-29,16296.799598731566,11171.0439453125,8148.3984375,19383.619140625,12184.554909222206
29,2024-03-01,14581.612236616551,12732.3291015625,7290.80517578125,18711.01953125,13064.897015937131
30,2024-03-02,13303.708942102734,14129.98828125,6651.85400390625,18480.314453125,13906.341408072534
31,2024-03-03,10700.275565435993,14160.8515625,5350.13720703125,17368.2890625,14051.269528990517
32,2024-03-04,9162.873243065449,12986.884765625,4581.4365234375,15485.6953125,13232.067895343196
33,2024-03-05,10834.255733319558,11592.1435546875,5417.12841796875,14685.67578125,12076.891167434223
34,2024-03-06,12738.899395838482,10782.0537109375,6369.44970703125,15460.984375,11562.986117918957
35,2024-03-07,14602.50267060689,10153.2099609375,7301.2509765625,17269.93359375,11423.201220452615
36,2024-03-08,15208.807298590837,10366.03125,7604.40380859375,18871.876953125,11834.646391523984
37,2024-03-09,13100.467674399166,11414.6171875,6550.23388671875,19641.130859375,12854.166186782579
38,2024-03-10,12068.712843011774,12650.119140625,6034.35595703125,19512.857421875,13600.51596962084
39,2024-03-11,12005.23959964991,11898.76953125,6002.61962890625,18217.734375,12907.696560661345
40,2024-03-12,15579.959426149493,11149.83984375,7789.98046875,17095.4921875,11700.998025077439
41,2024-03-13,17751.082250391715,10327.4638671875,8875.5419921875,16916.86328125,10894.529805102335
42,2024-03-14,17525.12042220059,10420.6279296875,8762.560546875,18077.623046875,11263.646793395983
43,2024-03-15,17615.73556085513,12036.5244140625,8807.8671875,18558.8828125,12180.278830386538
44,2024-03-16,16341.432737757917,13670.2666015625,8170.71533203125,18271.962890625,13149.3308184575
45,2024-03-17,15677.587590635289,14275.2587890625,7838.79248046875,18276.443359375,13529.550257664087
46,2024-03-18,13459.743864379358,13262.6357421875,6729.869140625,17752.046875,13234.427664100745
47,2024-03-19,12244.146510582883,11631.431640625,6122.07080078125,16314.5302734375,12253.154749724694
48,2024-03-20,12980.642088468652,10551.455078125,6490.31884765625,16657.384765625,11678.8458864883
49,2024-03-21,14967.977672231384,9669.61328125,7483.98779296875,18397.544921875,11361.199895685131
50,2024-03-22,16225.803167773614,10273.16015625,8112.9013671875,20876.505859375,12084.364725866666
51,2024-03-23,17264.72592951369,11827.0546875,8632.36328125,21707.8984375,12907.782955598996
52,2024-03-24,17195.576239565853,13102.712890625,8597.7890625,21776.138671875,13574.430529300153
53,2024-03-25,16180.653476792388,11038.5869140625,8090.328125,20681.38671875,12428.384858355334
54,2024-03-26,15977.785717419581,9718.603515625,7988.89404296875,20281.771484375,11691.310289067813
55,2024-03-27,15589.723893828399,8910.3134765625,7794.8623046875,20177.986328125,11321.325207407175
