日期,管制站,入境 / 出境,香港居民,内地访客,其他访客,总计
2019-09-13,文锦渡,出境,4107,938,69,5114
2019-09-13,沙头角,入境,1919,683,103,2705
2019-09-13,沙头角,出境,3911,532,42,4485
2019-09-13,深圳湾,入境,20556,15762,1850,38168
2019-09-13,深圳湾,出境,43265,13519,1074,57858
2019-09-13,中国客运码头,入境,1365,747,864,2976
2019-09-13,中国客运码头,出境,3329,697,918,4944
2019-09-13,港口管制,入境,1,0,71,72
2019-09-13,港口管制,出境,0,0,27,27
2019-09-13,启德邮轮码头,入境,1045,869,249,2163
2019-09-13,启德邮轮码头,出境,3098,1254,275,4627
2019-09-13,港澳客轮码头,入境,7501,580,2792,10873
2019-09-13,港澳客轮码头,出境,11006,599,2085,13690
2019-09-13,屯门客运码头,入境,489,3,41,533
2019-09-13,屯门客运码头,出境,541,13,12,566
2019-09-14,机场,入境,20395,4664,12938,37997
2019-09-14,机场,出境,32003,4499,11644,48146
2019-09-14,高铁西九龙,入境,6093,6659,696,13448
2019-09-14,高铁西九龙,出境,11136,6869,779,18784
2019-09-14,红磡,入境,849,449,132,1430
2019-09-14,红磡,出境,1888,424,129,2441
2019-09-14,罗湖,入境,82793,18511,1075,102379
2019-09-14,罗湖,出境,110124,22267,1259,133650
2019-09-14,落马洲支线,入境,40079,20981,457,61517
2019-09-14,落马洲支线,出境,55090,20993,507,76590
2019-09-14,港珠澳大桥,入境,18388,2944,3922,25254
2019-09-14,港珠澳大桥,出境,29495,3329,3080,35904
2019-09-14,落马洲,入境,19686,3922,382,23990
2019-09-14,落马洲,出境,25358,4722,555,30635
2019-09-14,文锦渡,入境,1371,1544,19,2934
2019-09-14,文锦渡,出境,1740,1130,100,2970
2019-09-14,沙头角,入境,2135,697,37,2869
2019-09-14,沙头角,出境,3081,589,60,3730
2019-09-14,深圳湾,入境,25073,16494,919,42486
2019-09-14,深圳湾,出境,40035,17383,1297,58715
2019-09-14,中国客运码头,入境,1971,646,886,3503
2019-09-14,中国客运码头,出境,3712,665,933,5310
2019-09-14,港口管制,入境,0,0,25,25
2019-09-14,港口管制,出境,0,0,11,11
2019-09-14,启德邮轮码头,入境,649,78,63,790
2019-09-14,启德邮轮码头,出境,956,91,5,1052
2019-09-14,港澳客轮码头,入境,9021,664,2478,12163
2019-09-14,港澳客轮码头,出境,13641,660,2207,16508
2019-09-14,屯门客运码头,入境,835,16,54,905
2019-09-14,屯门客运码头,出境,1009,17,28,1054
2019-09-15,机场,入境,37821,8445,17401,63667
2019-09-15,机场,出境,30257,7053,15846,53156
2019-09-15,高铁西九龙,入境,17025,4631,562,22218
2019-09-15,高铁西九龙,出境,5356,7468,1043,13867
2019-09-15,红磡,入境,3384,393,127,3904
2019-09-15,红磡,出境,971,694,235,1900
