单位名称,饭店星级,客房数,床位数
北翼大酒店,3,88,174
上海桃城度假村,3,80,160
上海华晶宾馆,3,153,286
上海技贸宾馆,3,66,115
上海莘城宾馆,3,70,132
上海中福大酒店有限公司,3,520,536
上海明珠大饭店,3,142,268
东方绿舟度假村有限公司,3,108,182
上海田林宾馆有限公司,3,290,534
上海高桥石化宾馆,3,142,248
上海泛洋度假村,3,75,130
上海兴华宾馆,3,118,188
上海新词贸易有限公司,3,115,198
上海金山宾馆有限公司,3,150,330
海烟大酒店,3,119,142
中电大酒店,3,219,298
上海锦江达华宾馆,3,90,155
上海美臣大酒店,3,115,170
上海浦东大酒店有限公司,3,139,177
上海兰笋山庄,3,87,156
紫藤宾馆,3,100,204
南华苑度假村,3,102,192
上海静岑淀山湖职工培训中心,3,64,143
金燕大厦,3,143,263
上海汇亨新亚大酒店,3,190,364
上海汇苑宾馆,3,59,114
上海益民酒店管理有限公司,3,103,145
上海佘山森林宾馆有限公司,3,90,174
新城饭店,3,140,241
上海江天宾馆,3,96,148
上海协通大酒店有限公司,3,179,263
新发展古华山庄,3,137,215
中国石化资产经营管理有限公司上海会议中心,3,186,260
上海吴宫大酒店,3,165,292
上海群略商务发展有限公司青浦宾馆,3,181,307
上海市建工锦江大酒店有限公司,3,223,385
上海天鹤大酒店有限公司,3,199,318
中国科学院上海学术活动中心,3,193,273
上海三湘大厦,3,123,203
上海商悦青年会大酒店有限公司,3,142,215
上海白玉兰宾馆,3,258,445
上海国际机场宾馆,3,308,431
上海锦江金门大酒店,3,182,292
上海华夏宾馆,3,380,680
豪都大酒店,2,200,276
上海先丰宾馆有限公司,2,32,56
雍和宾馆,2,100,180
上海天科经济发展有限公司天科商务宾馆,2,31,49
碧丽宫大酒店,2,23,39
金皇朝酒店,2,48,69
上海青浦人家商务发展有限公司,2,46,78
上海思致酒店管理有限公司,2,49,49
上海乐岛宾馆有限公司,2,21,40
上海连通大酒店有限公司,2,60,100
上海上外国际文化交流中心,2,174,324
湘港大酒店,2,64,80
上海黄金岛大酒店有限公司,2,90,178
上海盛勤襄阳酒店管理有限公司,2,58,112
宏达山庄,2,95,160
上海长城饭店有限公司,2,100,198
圣贤居宾馆,3,102,185
春申江宾馆,2,170,255
上海紫金东悦酒店有限公司,2,58,108
上海酒钢大酒店有限公司,2,38,62
上海九宇宾馆,2,83,148
上海园湖苑宾馆,2,56,112
上海豫园商城会景楼大酒店有限公司,2,107,179
上海天益宾馆,2,171,313
上海七重天宾馆有限公司,2,59,109
上海良友饭店,2,131,250
南京饭店,2,165,307
东亚饭店,2,220,306
上海华方实业有限公司华方大酒店,1,48,97
