date,HK_airport_entry,CN_airport_entry,global_airport_entry,airport_entry,HK_airport_departure,CN_airport_departure,global_airport_departure,airport_departure
2024-01-17,23696,9221,16488,49405,21744,7451,14819,44014
2024-01-18,20882,9047,18415,48344,24780,7703,14516,46999
2024-01-19,22969,11114,20191,54274,27882,9014,16351,53247
2024-01-20,24648,11701,18384,54733,24496,9997,16940,51433
2024-01-21,31279,11386,16040,58705,21015,12401,21758,55174
2024-01-22,25297,11228,16100,52625,20962,10873,18343,50178
2024-01-23,22507,11229,15154,48890,18135,10875,16499,45509
2024-01-24,21041,11189,16145,48375,21068,11122,15365,47555
2024-01-25,19078,11639,19263,49980,24450,11302,15163,50915
2024-01-26,20852,12240,20472,53564,26917,12719,16624,56260
2024-01-27,22095,14187,17753,54035,23847,13492,17588,54927
2024-01-28,29198,13870,14748,57816,20933,14526,23558,59017
2024-01-29,24559,14146,13733,52438,18904,12354,19378,50636
2024-01-30,22043,13190,11701,46934,17291,13385,17708,48384
2024-01-31,21509,13281,12477,47267,20871,14432,16116,51419
2024-02-01,18194,14040,16160,48394,23631,15274,13946,52851
2024-02-02,18736,13773,15503,48012,27824,16281,15089,59194
2024-02-03,20656,15056,14602,50314,28387,15829,15692,59908
2024-02-04,25238,15129,11621,51988,23120,15615,20260,58995
2024-02-05,22011,14846,9840,46697,21708,16750,16177,54635
2024-02-06,19840,15618,9118,44576,33375,15615,13812,62802
2024-02-07,21152,17138,12223,50513,46023,11561,10981,68565
2024-02-08,22902,17444,16448,56794,50573,9516,9205,69294
2024-02-09,18425,13191,17586,49202,60485,5942,6781,73208
2024-02-10,15659,15127,17116,47902,49687,7223,7481,64391
2024-02-11,17292,17937,13100,48329,39349,10866,11911,62126
2024-02-12,26994,17682,10993,55669,34397,12898,15258,62553
2024-02-13,45037,12699,8336,66072,31605,14318,15111,61034
2024-02-14,42578,14947,10141,67666,26422,15187,14298,55907
2024-02-15,40851,17636,12223,70710,28570,15004,12165,55739
2024-02-16,45486,17689,12528,75703,25739,14913,11039,51691
2024-02-17,54467,13446,10800,78713,25552,13418,12065,51035
2024-02-18,61938,9532,10526,81996,25125,12544,13949,51618
2024-02-19,43974,15547,13852,73373,21866,10541,9612,42019
